food_name,energy_kcal,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg
Gooseberry pickle (Amla ka achaar),278.58,3118.62,16017.13,6009.61,0.00,31.17,47.48,23.00,86.38,199.18,1.04,0.09
Lotus stem pickle (Kamal kakdi ka achar),102.69,166.49,835.80,103.13,0.00,137.73,44.54,57.68,181.83,1026.99,20.57,0.42
Date pickle (Khajoor ka achaar),182.29,552.49,848.15,2605.00,0.00,41.49,44.69,39.25,138.86,434.89,1.96,0.19
Garlic pickle (Lahasun ka achar),413.62,5803.95,14997.32,17239.78,0.00,54.66,69.93,33.55,269.12,311.08,1.82,0.14
Fermented bamboo shoot pickle (Mesu pickle),59.83,666.84,3010.48,1274.42,0.00,16.62,44.03,11.25,161.31,434.41,0.69,0.15
Sweet peach pickle (Aadoo ka achaar),144.64,19.08,103.24,39.71,0.00,11.99,10.55,5.64,33.04,150.24,0.33,0.08
Pickled mustard greens ,13.12,61.41,12.34,140.26,0.00,81.44,30.73,22.63,242.36,173.98,1.22,0.10
Small onion pickle ,16.86,99.05,100.16,346.52,0.00,31.95,48.74,9.18,249.48,214.90,1.20,0.07
Green tomato pickle (Haray tamatar ka achaar),193.26,2348.21,4183.09,12197.64,0.00,14.22,29.44,16.01,159.18,205.63,0.77,0.07
Pickled cabbage ,13.69,18.29,63.74,43.51,0.00,15.96,9.56,6.13,121.39,58.17,0.19,0.01
Coconut pickle (Nariyal ka aachar),517.26,41538.18,3469.48,1322.34,0.00,44.78,64.60,32.21,176.54,342.27,2.62,0.24
Potato pickle (Aloo ka achaar),369.14,5378.27,7666.10,21623.95,0.00,48.46,59.24,34.80,213.73,311.23,1.12,0.14
Mango murabba candy,293.35,10.09,5.80,10.77,0.00,16.55,6.36,7.64,13.71,56.54,0.33,0.11
Afghani chicken,151.51,1241.57,1920.00,1188.45,42.14,35.14,151.77,28.36,87.02,259.04,1.04,0.27
Fish orly,563.70,7575.98,11930.07,36197.39,11.78,9.55,90.12,11.85,136.37,94.43,0.31,0.03
Hariyali Fish Tikka,150.24,5255.14,2264.02,986.02,43.28,34.86,162.56,33.88,100.45,257.74,0.83,0.08
Chicken manchurian,142.34,1218.86,1867.15,4472.80,37.88,26.52,96.13,16.57,2414.77,179.84,1.28,0.11
Handi chicken,166.02,1400.08,4941.92,1790.94,33.71,26.85,111.00,18.15,75.64,214.67,0.93,0.17
Lemon chicken,169.79,1589.38,1248.12,404.48,60.15,17.40,165.74,19.91,79.93,282.83,0.95,0.25
Lemon butter fish,160.25,5160.78,3187.70,1093.09,46.11,18.66,183.74,29.57,187.72,240.34,0.40,0.05
Baked eggs in tomato sauce,80.05,1440.99,2049.81,1073.64,77.26,71.94,77.38,20.55,188.21,321.52,1.31,0.04
Egg in a pepper,128.78,2800.94,3292.86,1101.69,345.88,48.25,176.67,12.83,183.89,144.67,1.76,0.07
Spinach mushroom scrambled egg (Palak mushroom bhurji),158.85,5247.66,3825.72,1016.19,276.56,140.31,205.75,19.41,227.97,180.76,1.60,0.07
Corn omelette/omlet,166.93,6129.16,4076.53,1093.55,253.36,96.22,180.05,17.36,166.42,145.92,1.34,0.06
Cajun chicken,184.94,5143.72,5138.32,728.50,39.32,156.98,168.97,18.93,1740.13,181.55,0.53,0.13
Paaner do pyaza,127.70,3612.60,2916.58,3483.96,15.07,57.22,82.36,17.05,160.66,135.24,0.45,0.07
Cabbage manchurian (Pattagobhi manchurian),224.26,2726.50,4623.99,14190.72,0.18,3.18,8.86,3.50,75.02,34.44,0.20,0.02
Gobi 65,278.29,3545.37,5967.12,18366.84,0.29,12.37,13.11,5.75,69.22,56.39,0.30,0.02
Paneer lababdar,105.48,1898.13,2330.04,3654.59,7.19,55.56,77.52,19.63,142.45,145.50,0.56,0.08
Roasted cauliflower steak,78.68,1009.67,4613.26,719.62,0.00,24.47,44.67,22.20,120.19,311.66,0.95,0.05
Sauteed radishes with green beans,94.32,2151.31,2106.93,1969.88,7.44,40.20,82.05,45.13,65.10,323.33,1.01,0.14
Garlic chutney/Poondu chutney (Lahasun ki chutney),255.51,2120.54,3623.00,10862.43,0.00,63.51,90.72,50.97,177.62,541.63,3.26,0.24
Schezwan chutney,205.19,2304.13,3690.84,10902.80,0.79,35.46,66.21,35.17,486.27,412.31,1.96,0.16
Onion chutney (Pyaaz ki chutney/Vengaya chutney),143.94,1053.95,1665.27,5194.26,0.00,28.50,60.17,37.83,256.89,342.69,1.19,0.18
Dates chutney (Khajoor ki chutney),103.57,147.90,243.26,628.95,0.00,28.72,29.43,29.16,76.77,288.06,1.19,0.13
Chicken salad,338.19,2360.33,16255.16,6574.88,47.62,43.19,168.54,58.53,50.62,284.46,1.23,0.32
Macaroni salad,262.19,3228.34,9044.05,3857.98,58.64,35.70,84.29,18.72,163.99,147.09,0.77,0.11
Cabbage raita (Pattagobhi raita),84.84,3166.76,1411.49,254.91,16.26,118.49,93.87,15.55,125.31,210.13,0.19,0.02
Pomegranate raita (Anaar ka raita),72.64,1952.97,871.85,141.28,4.67,138.31,118.15,14.73,195.18,208.12,0.25,0.04
Onion raita (Pyaaz ka raita),71.56,1513.98,625.89,115.72,8.61,163.80,141.31,20.55,189.96,269.88,0.30,0.03
Green chilli raita (Hari mirch ka raita),77.13,1836.55,762.55,127.09,10.52,193.58,165.25,20.12,161.31,286.94,0.21,0.01
Kale salad,177.71,2990.15,8729.32,2235.26,6.12,109.11,97.06,32.20,292.04,336.77,1.30,0.10
Spinach and paneer souffle ,186.19,7830.51,3744.27,624.81,76.02,114.32,118.65,21.00,434.68,197.90,1.40,0.07
Masala souffle ,123.51,3947.26,2134.54,484.17,86.45,103.68,119.81,18.30,131.14,274.75,0.74,0.07
Chicken and cheese souffle,182.35,7728.66,3679.40,638.33,89.24,61.71,115.11,12.25,120.93,160.39,0.63,0.10
Tamarind chutney (Chintapandu pachadi/Puli chutney),109.15,198.95,142.18,81.26,0.68,40.30,30.36,32.91,75.61,235.60,1.95,0.10
Pav bhaji masala,230.47,1026.17,4773.47,2027.02,0.00,588.91,237.57,269.44,1814.66,1258.15,12.84,0.93
Green chutney,79.42,230.49,302.70,691.27,0.00,112.74,91.29,73.93,262.81,508.96,4.58,0.29
Sago khitchdi/khichri (Sabudana khitchdi/khichri),187.16,4729.75,3056.39,1331.00,12.24,15.13,55.28,27.71,100.26,189.28,0.86,0.13
Gram flour chilla/cheela (Besan chilla/cheela),135.93,367.78,552.73,1552.41,0.00,28.38,80.20,27.71,135.57,168.70,2.19,0.12
Vegetable namkeen jave,112.23,956.98,581.75,718.80,3.41,10.32,32.77,14.39,32.13,91.36,1.07,0.07
Khakhra,178.50,661.22,1021.50,3255.78,0.00,21.27,140.34,57.11,184.16,166.32,2.14,0.22
Moong bean dosa (Pesarattu),285.96,4867.11,2724.42,2968.49,17.86,36.44,218.16,86.95,61.36,704.21,3.38,0.52
Methi thepla,346.16,2236.12,3263.20,9358.91,1.85,73.51,210.89,83.17,543.27,298.37,4.52,0.30
Rice puttu (Ari puttu),81.98,2053.70,176.62,44.23,0.00,4.96,28.23,8.00,48.28,69.57,0.42,0.07
Buckwheat pancake (Khura),263.30,10115.73,4059.74,592.43,41.31,11.32,54.83,16.71,69.97,100.05,0.69,0.21
Quinoa khichdi/khichri,64.01,692.19,392.44,287.28,2.61,24.59,52.58,25.30,69.64,174.76,1.12,0.13
Khakhra chaat,358.66,3698.12,6261.69,19256.31,0.06,24.49,64.39,27.23,102.78,173.44,1.26,0.12
Banana appam,469.81,5727.34,8540.80,26201.35,0.00,13.74,27.05,19.47,20.14,142.99,0.77,0.07
Veg manchurian,585.64,7412.22,12631.26,39028.96,0.00,16.79,16.34,7.53,65.31,83.30,0.31,0.03
Pav bhaji,96.53,2223.01,943.10,629.00,8.91,24.86,19.19,12.69,163.89,139.30,0.97,0.05
Rice murukku,593.99,6839.54,10044.71,28886.18,5.32,24.63,98.69,29.19,63.31,224.26,1.70,0.21
Bhel puri ,509.89,5770.93,9933.39,30080.44,0.00,24.22,47.03,22.42,93.98,150.56,1.29,0.10
Semolina dhokla (Suji/Rava dhokla),194.91,1593.49,876.99,2054.16,0.00,31.17,67.37,28.69,443.39,194.28,2.52,0.25
Spicy corn chaat ,479.80,6351.30,9680.51,28344.52,3.89,17.28,58.68,21.18,86.50,124.80,0.84,0.07
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),597.79,7863.88,11106.46,32627.24,0.00,24.62,47.74,30.82,46.39,176.51,1.15,0.15
Banana chips (Kele ke chips),665.67,8484.23,14442.96,44622.74,0.00,2.01,6.12,9.04,86.87,106.43,0.19,0.04
Wheat cake,314.63,9265.63,3820.00,672.31,40.13,98.91,187.85,39.22,82.96,183.29,1.08,0.13
Mango cheesecake,152.46,3705.42,2165.22,449.45,16.90,55.10,51.83,13.97,107.12,139.64,0.53,0.08
Carrot cake (Gajar ka cake),255.59,3186.86,2368.67,4102.84,11.61,156.10,239.44,39.07,158.74,273.12,1.03,0.11
Semolina cake (Suji/Rava cake),374.14,16261.69,3745.04,716.87,27.06,128.28,197.63,39.58,91.36,349.46,1.36,0.29
Finger millet cake (Ragi cake),279.46,7521.13,3192.04,514.95,25.20,118.38,173.84,49.57,98.26,191.33,1.35,0.28
Honey cake,333.59,2183.64,3049.27,8790.58,1.54,50.86,95.63,9.73,72.55,88.76,0.46,0.06
Almond cardamom cake (Badam elaichi cake),356.35,8781.48,8635.24,2373.45,74.32,81.29,207.42,52.90,155.37,173.38,1.29,0.22
Tutti frutti cake,347.72,1872.73,2609.24,7589.97,2.46,61.41,134.12,14.16,106.36,109.79,0.62,0.08
Ham and Bean soup,96.04,865.30,2297.71,634.53,25.92,20.52,207.48,22.97,378.14,309.30,0.88,0.11
Whey soup,68.91,1390.65,993.06,683.14,0.83,164.92,116.09,19.08,87.08,158.89,0.55,0.07
Bottle gourd soup (Ghiya/Lauki soup),23.05,358.40,1170.08,162.30,0.72,15.14,14.68,5.92,53.81,61.68,0.26,0.03
Baked potato soup,147.05,6188.45,3297.93,657.61,26.31,106.56,128.17,12.65,268.69,184.87,0.27,0.04
Pumpkin soup,40.05,616.28,2153.91,272.50,0.86,12.17,11.85,5.38,45.50,115.19,0.19,0.03
Sweet corn soup,32.25,198.92,364.54,915.44,0.00,3.72,26.14,11.22,22.35,86.92,0.41,0.02
Paneer soup,47.85,1497.13,792.66,294.54,0.00,82.76,56.74,6.55,68.03,27.66,0.30,0.03
Curried Cauliflower soup,37.32,1281.94,538.99,179.05,4.77,37.25,74.48,33.71,7311.44,333.51,2.12,0.06
Millet soup,55.99,394.34,289.29,480.65,1.45,65.21,138.85,48.47,10918.83,382.18,2.74,0.11
Lemon coriander soup,108.06,682.17,1988.96,2993.29,0.00,102.57,62.72,54.52,219.17,368.81,3.47,0.23
Garlic soup,194.86,6456.94,9024.43,1166.08,22.92,60.55,56.66,18.08,179.26,247.47,0.73,0.06
Dal makhani,74.04,1771.75,729.79,225.15,7.25,20.62,58.31,27.39,41.85,199.40,1.23,0.11
Dalma,118.93,531.78,2174.06,1304.52,0.00,54.28,85.46,43.25,49.35,390.38,2.10,0.24
Split bengal gram dal (Channa dal),99.67,2146.92,1190.07,646.87,8.53,21.99,66.01,29.50,46.40,232.72,1.92,0.18
Horsegram dal (Kulthi dal) ,55.65,148.04,239.40,668.43,0.00,38.22,42.18,23.01,63.63,173.06,1.30,0.18
Panchmel dal,111.22,2900.88,1361.43,489.16,11.86,23.05,72.53,32.49,79.46,269.92,1.42,0.19
Dal dhokli,68.74,410.28,823.53,1066.81,0.00,14.54,53.60,23.63,37.53,152.23,0.79,0.14
Gujarati handvo ,207.09,871.46,1014.18,2444.65,1.93,68.21,151.08,47.32,308.55,411.20,2.03,0.30
Sev (Omapodi/Karapusa),609.14,7209.68,12305.86,37924.40,0.00,13.95,49.98,14.55,53.19,71.96,0.72,0.07
Papdi,708.96,8659.32,14793.75,45650.39,0.00,6.06,20.10,6.63,28.91,31.06,0.44,0.04
Jowar dosa,294.35,1254.56,2060.99,6285.96,0.00,19.46,166.78,71.56,97.25,339.77,2.03,0.29
Bread roll,435.46,4777.07,8139.66,25156.75,0.00,44.83,36.84,13.00,139.34,153.42,0.71,0.07
Soya seekh kebab,115.05,707.06,1190.37,3393.71,0.00,15.67,69.89,28.77,92.25,306.02,1.26,0.16
Classic seasoned black beans,28.78,9.50,35.78,26.62,0.00,40.11,58.86,23.45,7989.07,201.49,1.90,0.04
Maa chaane ki dal,344.67,3985.90,2188.78,1784.63,15.36,68.65,298.93,123.32,43.31,923.92,5.97,0.71
Garlic chickpea soup (Lahasun aur chane ka shoraba),89.53,236.12,811.06,650.30,0.00,13.93,55.94,18.79,79.73,177.33,0.96,0.15
White sauce (thin),115.17,5196.10,2203.45,283.02,11.04,110.20,93.11,8.56,23.91,111.33,0.19,0.03
White sauce (medium),151.27,7322.03,3048.54,406.88,20.47,103.53,90.16,8.79,22.59,108.19,0.22,0.04
White sauce (thick),209.69,10761.80,4415.89,607.28,35.72,92.74,85.39,9.18,20.45,103.11,0.27,0.04
Cheese sauce,194.76,9411.85,4033.00,538.15,39.75,255.14,293.01,14.33,317.38,130.21,0.31,0.03
Egg sauce,146.85,6174.18,3162.08,607.30,111.08,89.49,115.17,9.73,51.54,117.22,0.65,0.04
Mushroom sauce,137.56,6518.01,2711.64,390.94,18.20,94.10,89.82,9.85,20.94,131.43,0.22,0.04
Mustard sauce,158.58,7180.52,3455.69,528.24,19.97,109.03,92.35,14.90,22.16,128.41,0.44,0.04
Brown sauce,109.18,1124.38,1912.29,5918.29,0.00,40.44,107.28,39.16,14174.59,334.09,2.46,0.06
Classic italian pasta,42.12,647.53,513.45,1115.75,1.70,19.55,13.83,9.21,49.04,105.02,0.41,0.04
Pasta spinach sauce,85.46,2696.36,4136.42,596.40,9.34,58.57,45.41,32.15,115.79,251.05,1.23,0.07
Pasta cheese sauce,149.26,6732.67,2866.95,380.98,22.22,152.68,148.59,10.40,255.95,114.39,0.25,0.03
Mayonnaise,774.86,10737.12,17899.45,52047.93,117.12,15.36,61.35,3.69,272.89,23.47,0.51,0.03
Low calorie quick mayonnaise,242.89,3103.61,5178.19,14944.20,35.67,6.47,19.64,2.55,165.94,19.66,0.25,0.01
Thousand island dressing,407.87,3549.10,25798.30,11337.33,34.00,9.11,17.12,6.67,946.10,97.94,0.45,0.02
Curd dip,79.95,1850.62,1002.98,262.88,10.59,167.17,145.60,18.06,301.07,279.40,0.25,0.01
Short crust pastry,422.10,14974.83,6017.55,1006.97,61.00,16.90,69.62,18.33,97.20,92.93,1.02,0.10
Choux pastry,222.37,8681.23,4067.72,790.99,125.01,19.43,72.62,9.75,132.28,69.35,0.83,0.05
Flaky pastry,443.94,3845.50,6516.13,20204.98,0.00,9.28,49.78,14.23,178.52,67.37,0.83,0.08
Sponge cake ,253.77,1496.21,1744.49,658.48,182.09,30.22,119.68,13.67,64.61,108.95,1.47,0.09
Glace icing,323.51,2.77,0.65,4.84,0.00,1.95,0.96,0.12,9.88,10.59,0.41,0.04
Royal icing,332.58,2.42,0.60,4.17,0.00,2.87,3.50,1.99,36.50,35.40,0.42,0.05
American frosting,257.57,0.72,0.17,1.26,0.00,7.05,2.21,2.43,19.33,18.37,0.14,0.08
Gum icing,223.07,0.00,0.00,0.00,0.00,18.62,2.76,1.06,29.32,6.07,0.40,0.03
Channa murmura premix,339.09,32.79,27.84,31.36,0.00,21.36,106.40,45.21,206.28,344.30,4.58,0.17
Cracked wheat and green gram dal premix (Dalia moong dal premix),362.16,863.80,1840.87,1265.20,0.00,49.03,122.30,50.70,3.25,321.50,4.28,0.29
Rice flakes and roasted channa ,333.40,198.80,297.50,403.90,0.00,17.23,136.50,54.54,205.51,349.90,4.51,0.18
Spinach soup in milk ,56.72,1865.67,823.61,190.33,0.00,106.10,75.24,34.51,31.16,285.00,1.08,0.08
Vegetable soup,55.21,865.25,352.43,179.54,3.34,18.10,34.35,20.85,170.68,274.69,0.63,0.09
Mashed banana with milk,95.43,1781.94,787.86,131.61,0.00,78.64,69.05,15.15,16.99,191.13,0.23,0.06
Poha with curd (Poha aur dahi),173.32,2824.34,1233.48,317.40,13.37,140.90,172.39,36.72,325.07,249.94,1.61,0.08
Potato with curd,73.18,786.99,323.00,116.93,4.38,85.41,93.68,22.26,190.90,435.22,0.38,0.05
Sweet wheat porridge (Sweet dalia),140.66,1547.14,690.21,148.18,0.00,99.18,84.58,36.02,24.63,265.94,1.98,0.11
Vegetable khichdi/khichri,143.17,2717.25,1090.32,316.13,11.92,100.54,128.91,41.88,193.55,384.87,1.09,0.16
Moong dal mixture,158.84,494.12,188.22,180.57,2.38,70.53,98.65,45.55,29.60,453.86,1.25,0.19
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),167.45,3270.91,1323.45,270.45,14.62,123.04,113.40,35.47,224.95,340.86,2.17,0.13
Stewed apple,91.93,88.00,29.22,161.14,0.00,9.25,6.11,4.91,1.53,67.00,0.18,0.04
Lemon squash (Nimbu ka squash),184.56,30.76,0.00,30.76,0.00,9.85,3.54,2.79,15.01,30.02,0.18,0.06
Orange squash (Santre ka squash),193.26,11.41,5.92,14.65,0.00,10.62,4.43,4.35,14.85,52.78,0.34,0.06
Lichi squash,198.33,28.14,14.04,24.27,0.00,6.39,7.63,5.43,14.56,51.86,0.34,0.09
Mango squash (Aam ka squash),194.66,52.29,41.22,40.60,0.00,9.47,3.87,5.05,14.81,46.63,0.25,0.09
Pineapple squash (Ananas ka squash),195.02,15.72,9.58,14.69,0.00,7.96,4.63,4.85,14.84,46.32,0.18,0.08
Lemon and ginger squash (Nimbu aur adrak ka squash),170.34,66.18,13.59,96.17,0.00,11.18,11.27,12.95,16.19,101.40,0.52,0.07
Apple jam (Seb ka murabba),188.79,77.00,25.57,141.00,0.00,10.84,5.62,4.84,2.71,60.00,0.21,0.07
Plum jam (Aloo bukhara jam),178.89,9.64,81.73,28.40,0.00,7.50,7.03,4.51,2.67,79.81,0.20,0.24
Pineapple jam ,149.18,43.45,22.46,53.64,0.00,10.47,8.96,8.54,2.45,93.40,0.24,0.08
Guava jelly (Amrood ki jelly),115.74,37.92,27.48,135.38,0.00,16.55,18.34,12.20,3.36,218.85,0.29,0.15
Orange marmalade (Santray ka murabba),104.17,31.62,17.69,54.81,0.00,17.59,11.99,9.87,2.31,148.92,0.63,0.06
Carrot murabba (Gajar ka murabba),175.24,29.24,7.00,88.67,0.00,15.86,14.77,6.41,19.53,93.08,0.28,0.08
Gooseberry marmalade (Amla murabba),123.16,0.00,0.00,0.00,0.00,16.40,5.73,0.96,216.89,64.52,0.38,0.08
Ginger candy (Adrak ki candy),195.71,72.19,21.24,119.06,0.00,10.43,14.32,17.99,5.40,129.45,0.68,0.09
Mango pickle (Aam ka achaar),192.12,2065.83,10283.05,3861.34,0.00,48.97,34.15,32.75,3429.94,206.92,1.44,0.12
Mixed vegetable pickle (Sabziyoon ka achaar),211.20,2272.07,11262.04,4262.45,0.00,42.81,47.44,33.01,2488.32,283.15,2.12,0.14
Sweet lemon pickle (Neembu ka meetha achaar),69.54,100.44,12.65,95.94,0.00,42.57,10.68,21.98,6415.90,148.65,1.02,0.08
Plum chutney (Aloo bukhara ki chutney),177.11,27.30,102.28,74.91,0.00,12.38,10.42,7.31,216.81,101.56,0.34,0.26
Raw mango chutney (Kachhe aam/Kairi ki chutney),193.13,37.58,28.02,71.97,0.00,25.92,11.26,14.10,480.68,105.51,0.48,0.11
Tomato sauce,34.33,54.89,34.98,128.13,0.00,13.00,16.48,13.26,174.79,168.41,0.31,0.05
Tomato puree,20.62,47.13,30.17,117.71,0.00,8.91,15.29,12.19,244.99,165.74,0.22,0.04
Garam masala,254.21,900.80,5676.88,2164.46,0.00,609.77,228.03,318.39,58.33,1501.80,14.51,1.23
Chat masala,222.58,342.80,4428.50,1949.90,0.00,519.50,221.15,247.90,11873.64,1051.15,13.27,0.77
Kashmiri masala,389.02,3480.80,17010.94,6389.69,0.00,303.49,199.18,183.44,3106.14,1020.75,14.72,0.59
Rasam powder (Rasam masala),267.96,779.68,6561.75,2070.65,0.00,562.15,269.78,288.95,38.78,1524.90,14.72,1.40
Sambar powder (Sambar masala),297.46,5026.36,5878.33,2180.91,0.00,439.95,262.73,247.04,27.66,1350.05,12.63,1.24
Tartare sauce,610.93,5019.29,40196.82,17631.18,50.47,21.06,9.62,4.83,256.95,33.29,0.56,0.03
Barbeque sauce,121.93,544.97,971.86,2771.18,0.00,28.61,17.58,16.70,504.95,186.46,1.15,0.06
Bread sauce,111.04,4241.27,1804.13,241.55,8.48,110.72,88.42,11.07,88.84,122.76,0.31,0.05
Green chilli sauce,46.06,47.78,11.93,152.96,0.00,9.89,26.71,16.54,1037.04,155.76,0.64,0.07
Home made plain noodles,238.78,503.97,2301.60,460.66,0.00,12.27,65.92,18.74,182.07,89.09,1.07,0.10
Dal moong,43.69,873.43,401.86,141.62,3.55,7.69,39.20,16.62,117.74,130.13,0.52,0.09
Cumin seeds baghar (Jeera baghar/tadka),736.81,45128.31,21181.77,4479.31,189.23,177.77,85.31,86.42,177.58,420.92,5.09,0.28
Onion tomato baghar (Pyaaz tamatar ka tadka),137.52,6992.21,3097.01,697.59,29.17,20.45,26.94,16.74,31.33,174.16,0.63,0.09
Mustard seeds baghar (Mustard seed tadka),552.59,31336.36,14349.38,3383.41,130.57,182.93,89.97,91.77,8.90,553.41,4.14,0.28
Hot cherry sauce,252.74,16.33,6.31,32.60,0.00,24.82,9.98,6.70,105.81,39.98,0.45,0.02
Apple jelly (Seb ki jelly),152.13,51.33,17.04,94.00,0.00,7.89,3.81,3.36,2.14,40.33,0.15,0.05
Marmalade (Murabba),143.76,12.37,6.42,15.88,0.00,9.84,4.63,4.35,2.16,56.33,0.34,0.05
Plum squash (Aloo bukhara squash),211.17,5.01,42.49,14.77,0.00,6.90,3.96,2.97,12.71,43.01,0.16,0.16
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),14.07,88.75,5.16,130.29,0.00,20.05,14.76,23.19,7559.38,138.00,0.55,0.04
Brinjal pickle (Baingan ka achaar),139.01,1477.95,7291.88,2951.45,0.00,37.28,62.11,40.36,3507.59,305.87,2.16,0.14
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),60.88,370.92,1728.60,779.18,0.00,15.18,29.37,21.26,1281.94,203.12,0.54,0.07
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),91.21,716.48,3409.14,1643.32,0.00,54.31,76.16,36.57,2067.33,341.40,2.32,0.12
Tomato chutney (Tamatar ki chutney),176.07,691.45,3277.52,1318.43,0.00,25.34,21.47,17.52,823.65,157.35,0.96,0.10
Tomato ketchup,33.07,56.86,49.55,133.96,0.00,15.33,18.37,14.66,177.97,172.57,0.36,0.06
Bengal 5 Spice Blend (Panch Phoran),289.79,800.20,7997.20,3611.20,0.00,523.00,408.40,253.00,51.43,1026.20,13.37,0.81
