food_name,energy_kcal,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg
Methi parantha/paratha,148.36,558.79,809.69,2655.25,0.00,65.85,112.69,54.87,48.36,193.92,2.42,0.21
Bathua poori,598.79,7228.86,12112.75,37288.29,0.60,30.83,46.16,21.24,49.71,98.54,0.96,0.08
Gram flour poori (Besan poori),697.66,8728.20,14666.25,45080.36,0.73,7.09,50.15,18.52,58.33,54.35,0.71,0.08
Beetroot poori (Chukandar ki poori),527.66,6371.72,10695.67,32904.93,0.53,5.38,38.66,15.32,46.48,56.25,0.60,0.07
Peas poori (Matar ki poori),592.83,7044.73,11826.76,36380.27,0.59,8.96,48.59,20.70,47.77,79.58,0.84,0.10
Peas kachori (Matar kachori),584.68,6905.43,11817.05,36371.71,0.00,14.25,30.80,16.13,55.45,91.63,0.77,0.09
Pizza,146.77,3245.67,2710.49,2330.95,18.65,77.23,95.69,18.24,225.02,193.91,0.66,0.07
Bacon and mushroom pancake,157.67,5524.99,3332.13,871.87,39.23,44.74,91.42,15.73,344.23,210.33,0.54,0.07
Cheese and tomato pancake,147.39,5633.56,2467.14,427.64,38.27,127.51,160.54,16.30,281.62,151.49,0.64,0.06
Minced meat pancake (with chicken),116.04,2317.33,1229.41,311.17,33.26,64.72,138.44,25.38,4942.18,254.70,1.99,0.13
Eggplant/Brinjal rice (Vangi bhat),184.80,546.79,1420.41,1411.90,0.00,36.02,104.30,46.75,59.06,305.33,1.91,0.30
Kashmiri 'tahar',98.21,760.23,346.30,118.32,3.02,3.93,35.26,7.58,61.29,40.82,0.32,0.07
Cumin pulao (Jeera/Zeera pulao),135.24,406.05,665.80,1959.83,0.00,7.25,45.21,11.29,219.73,62.11,0.33,0.09
Peas pulao (Matar pulao),108.87,250.63,389.75,1154.32,0.00,18.18,47.16,21.46,86.18,135.07,0.78,0.14
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.53,294.50,451.73,1362.12,0.00,19.09,57.29,21.07,98.07,162.09,0.82,0.14
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.51,328.01,512.67,1520.63,0.00,16.51,59.48,20.05,103.09,148.31,0.77,0.14
Mutton pulao,130.77,1212.74,1665.93,2839.89,2.35,49.87,80.01,22.89,3115.59,177.66,1.25,0.11
Chicken pulao,108.24,1321.87,1873.06,1844.97,11.55,32.25,79.36,24.80,3093.47,170.81,0.98,0.11
Mexican rice,120.57,1319.72,1392.69,1834.46,11.90,14.51,60.72,14.39,93.42,147.26,0.55,0.08
Plain khitchdi (Plain khichri/khichdi),57.03,538.13,250.79,96.34,2.14,5.05,30.71,9.97,37.14,69.32,0.31,0.07
Instant idli (with semolina),247.29,875.88,777.03,1580.84,3.12,93.20,136.84,42.92,1504.66,348.78,2.31,0.31
Plain dosa,380.91,5030.31,2054.45,578.76,19.90,19.35,178.40,55.44,142.98,344.39,1.50,0.32
Masala dosa mixed vegetable fillings,144.53,1456.66,744.00,759.59,5.18,31.79,82.16,36.14,122.08,329.75,1.21,0.17
Masala dosa paneer fillings,243.12,4689.98,2337.78,1080.24,7.29,171.23,180.53,39.72,160.40,226.69,1.27,0.19
Uttapam,255.95,3233.07,2007.80,3178.61,10.57,40.86,109.53,41.71,228.69,286.22,1.23,0.21
Appam,267.70,15309.58,1345.02,375.38,0.00,6.36,55.20,23.30,26.59,161.42,0.83,0.23
Beans and macaroni,136.08,4248.25,1774.30,416.38,19.67,86.86,126.74,27.05,182.79,221.16,0.75,0.09
Spaghetti bolognese,97.43,1968.68,1294.08,933.05,13.91,73.66,145.25,29.25,5358.60,271.96,2.06,0.10
Meat and macaroni casserole,161.55,977.77,928.63,2307.13,2.13,68.28,107.55,22.39,2511.99,329.91,1.85,0.09
Spaghetti with meat balls and tomato sauce,158.13,2419.92,2646.83,4840.90,16.15,40.82,81.06,15.30,189.13,152.86,0.71,0.07
Spaghetti with paneer balls and tomato sauce,158.54,2176.33,2245.06,5341.15,2.57,80.73,79.17,15.07,199.55,113.95,0.55,0.07
Lasagne with meat sauce,63.38,1502.81,1423.05,225.54,8.80,24.61,41.98,8.28,37.08,88.89,0.49,0.04
Lasagne with vegetables,49.23,1059.88,740.19,166.21,2.81,32.89,32.55,13.26,40.78,126.45,0.57,0.05
Home made egg noodles,240.84,791.18,2577.80,559.43,38.27,15.96,83.10,18.54,177.24,90.12,1.15,0.10
Sour lentils (Khatti dal),34.79,19.42,17.72,52.16,0.00,8.29,30.74,9.99,115.60,98.52,0.85,0.10
Urad special dehusked,69.43,1160.66,519.38,228.23,4.62,16.40,55.69,28.53,109.56,233.34,0.83,0.11
Arhar with spinach (Arhar dal aur palak),52.84,1501.83,696.28,239.25,6.10,21.81,32.58,23.79,109.97,205.61,0.89,0.12
Moong dal with vadi,24.08,1152.82,521.45,161.44,4.75,2.99,6.77,3.98,112.36,33.66,0.18,0.02
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,110.60,214.46,454.77,0.00,16.56,21.12,14.66,104.11,130.66,0.59,0.07
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,111.03,211.75,451.35,0.00,15.56,20.21,13.98,102.77,124.52,0.52,0.07
Green gram whole with baghar (Sabut moong dal with tadka),63.43,1353.11,620.47,232.59,5.45,25.04,52.02,32.57,181.69,192.66,1.00,0.15
Urad sabut special,79.39,3169.12,1397.99,365.51,13.38,21.45,42.63,20.55,60.09,160.47,0.71,0.08
Kabuli channa curry,68.57,387.45,628.63,1791.70,0.15,32.03,46.28,23.41,122.05,190.00,0.95,0.14
Besan gatte curry,189.38,2239.71,2353.20,5362.63,2.80,151.08,128.59,37.09,356.27,274.59,1.89,0.13
